ID_Cliente,Edad,Genero,Ingresos_Anuales,Gastos_Mensuales,Deudas,Ahorros,Score_Credito
1,56,Masculino,129952,4121,10906,72661,846
2,69,Femenino,74235,700,2978,8812,700
3,46,Femenino,78565,4903,46518,70943,337
4,32,Femenino,75342,3823,42769,97137,382
5,60,Masculino,62723,3858,31275,4767,331
6,25,Femenino,55572,3471,43766,73898,353
7,38,Femenino,37610,1085,12343,22028,836
8,56,Femenino,54052,3845,11951,18803,344
9,36,Masculino,118993,4354,14691,10971,593
10,40,Masculino,107063,3924,11520,80056,424
11,28,Femenino,57550,4600,37676,89597,847
12,28,Femenino,74033,859,11326,48559,643
13,41,Femenino,49011,4169,30521,99242,722
14,53,Masculino,122811,4809,34727,86850,466
15,57,Masculino,54764,3977,37950,55504,568
16,41,Masculino,117540,3312,805,64481,493
17,20,Femenino,73533,544,35868,63486,423
18,39,Masculino,44064,3250,34343,64840,570
19,19,Femenino,143989,1133,11922,79208,357
20,41,Femenino,147825,1710,8791,42991,358
21,61,Masculino,69581,2249,35383,23995,749
22,47,Femenino,140388,3741,44331,24448,516
23,55,Masculino,48702,3268,15040,95672,781
24,19,Femenino,105701,1093,25187,31088,543
25,38,Femenino,143482,1924,30860,3177,402
26,50,Masculino,28631,2426,26525,27347,816
27,29,Femenino,143864,1356,38394,15684,563
28,39,Femenino,107388,1051,25136,21735,540
29,61,Femenino,144798,4638,43506,5100,528
30,42,Femenino,90043,3388,17010,19268,751
31,66,Femenino,86063,4774,39652,42691,754
32,44,Femenino,48981,1980,44222,83192,843
33,59,Femenino,55764,1106,11974,79164,673
34,45,Femenino,121771,1171,8866,6407,323
35,33,Masculino,148787,3815,49200,24054,605
36,32,Masculino,70513,516,18286,40198,673
37,64,Femenino,141505,3373,15015,26532,486
38,68,Femenino,149014,3094,37140,44447,411
39,61,Masculino,133076,2984,26670,95120,792
40,69,Femenino,119007,1115,36610,83611,593
41,20,Masculino,86198,3705,20695,28741,721
42,54,Masculino,44940,3349,24805,9449,448
43,68,Masculino,127418,4907,24190,21557,450
44,24,Femenino,91792,4307,7997,61609,473
45,38,Femenino,48432,2572,44452,26659,496
46,26,Femenino,28367,1024,22752,3905,554
47,56,Masculino,131764,3673,18069,38814,713
48,35,Masculino,123601,1973,30508,38848,467
49,21,Masculino,45511,2925,21517,94466,381
50,42,Femenino,28573,3774,41592,76026,369
51,31,Masculino,35582,3838,49035,55308,725
52,67,Masculino,25378,2507,8524,72220,701
53,26,Femenino,85296,2912,10071,34872,824
54,43,Masculino,33500,2651,39077,9376,511
55,19,Masculino,85841,3682,41466,98740,401
56,37,Femenino,41881,927,20596,47881,637
57,45,Femenino,90233,1514,9781,86245,632
58,64,Masculino,71542,2104,40239,13118,504
59,24,Femenino,85285,1369,47560,29888,786
60,61,Masculino,79547,3227,34759,94827,528
61,25,Femenino,82151,3352,45924,47460,488
62,64,Masculino,27222,1385,42694,92511,398
63,52,Femenino,27933,3108,26839,57965,710
64,31,Masculino,103385,1773,49264,28289,759
65,34,Femenino,109772,4926,2263,41594,493
66,53,Femenino,129767,2455,25002,27588,319
67,67,Femenino,118706,1086,38022,55013,610
68,57,Femenino,98437,700,25642,35108,378
69,21,Femenino,26940,4117,35579,91521,469
